Course Code,Course Name,Programme Code,Batch,Section,Semester,Category,Status
MA101,Engineering Mathematics-I,UCS,UCS 2023-2027,ALL,1,core,active
PH102,Engineering Physics,UCS,UCS 2023-2027,ALL,1,core,active
EE102,Basic Electrical Engineering,UCS,UCS 2023-2027,ALL,1,core,active
ME101,Engineering Mechanics,UCS,UCS 2023-2027,ALL,1,core,active
ES101,Environmental Studies,UCS,UCS 2023-2027,ALL,1,core,active
PH104,Engineering Physics Lab,UCS,UCS 2023-2027,ALL,1,core,active
EE104,Basic Electrical Engineering Lab,UCS,UCS 2023-2027,ALL,1,core,active
EN151,Language Lab,UCS,UCS 2023-2027,ALL,1,core,active
ME102,Workshop Practice,UCS,UCS 2023-2027,ALL,1,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,1,common,active
CS101,Fundamentals of Computer Programming,UCS,UCS 2023-2027,ALL,2,core,active
CS102,Computer Organization and Architecture,UCS,UCS 2023-2027,ALL,2,core,active
MA102,Engineering Mathematics-II,UCS,UCS 2023-2027,ALL,2,core,active
EC101,Basic Electronics Engineering,UCS,UCS 2023-2027,ALL,2,core,active
CS105,Introduction to Artificial Intelligence,UCS,UCS 2023-2027,ALL,2,core,active
EN101,English Proficiency,UCS,UCS 2023-2027,ALL,2,core,active
CE103,Engineering Graphics,UCS,UCS 2023-2027,ALL,2,core,active
CS181,Computer Programming Lab,UCS,UCS 2023-2027,ALL,2,core,active
CS183,Computer Organization and Architecture Lab,UCS,UCS 2023-2027,ALL,2,core,active
EC181,Basic Electronics Engineering Lab,UCS,UCS 2023-2027,ALL,2,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,2,common,active
CS201,Internet Technology,UCS,UCS 2023-2027,ALL,3,core,active
CS203,Concepts of Operating Systems,UCS,UCS 2023-2027,ALL,3,core,active
CS205,Data Structure and Algorithms,UCS,UCS 2023-2027,ALL,3,core,active
CS207,Problem Solving using C++,UCS,UCS 2023-2027,ALL,3,core,active
